Date,Open,High,Low,Settle,Volume,Interest
2016-09-23,452.1,452.6,452.1,452.25,9.0,999.0
2016-09-26,449.9,450.0,445.8,445.65,43.0,1001.0
2016-09-27,448.4,448.85,443.05,445.6,15.0,1021.0
2016-09-28,450.0,451.0,447.6,448.05,91.0,1015.0
2016-09-29,454.4,454.4,444.65,449.3,37.0,969.0
2016-09-30,442.65,450.95,440.5,450.05,46.0,980.0
2016-10-03,451.3,451.55,450.2,450.7,9.0,969.0
2016-10-04,452.95,457.8,452.65,456.05,111.0,967.0
2016-10-05,450.0,453.75,450.0,453.85,13.0,966.0
2016-10-06,454.6,455.05,452.3,452.6,80.0,981.0
2016-10-07,451.35,452.0,447.0,447.85,13.0,1058.0
2016-10-10,448.3,452.4,448.3,453.05,11.0,1064.0
2016-10-11,452.7,454.05,448.0,449.05,41.0,1074.0
2016-10-12,0.0,0.0,0.0,448.45,0.0,1076.0
2016-10-13,443.05,444.65,443.05,443.05,98.0,1077.0
2016-10-14,445.05,450.4,444.8,448.4,11.0,1076.0
2016-10-17,446.75,446.75,445.75,445.95,23.0,1011.0
2016-10-18,452.3,452.3,451.0,451.1,6.0,1027.0
2016-10-20,453.0,455.0,451.75,454.1,256.0,1106.0
2016-10-21,454.75,455.95,454.35,455.45,127.0,1329.0
2016-10-24,457.95,461.15,457.5,457.8,183.0,1346.0
2016-10-25,459.0,460.1,456.9,457.35,12.0,1369.0
2016-10-26,455.65,455.7,451.35,453.85,36.0,1366.0
2016-10-27,456.95,456.95,453.05,454.2,14.0,1388.0
2016-10-28,452.45,454.1,440.0,453.85,159.0,1389.0
2016-10-31,450.9,451.45,450.0,451.05,39.0,1461.0
2016-11-01,454.0,455.0,446.35,448.25,45.0,1479.0
2016-11-02,445.65,445.65,441.1,442.25,39.0,1452.0
2016-11-03,444.75,445.6,439.05,440.8,265.0,1454.0
2016-11-04,440.15,440.15,436.0,439.0,151.0,1444.0
2016-11-07,443.85,447.0,443.85,446.7,93.0,1401.0
2016-11-08,447.6,450.75,445.85,448.65,63.0,1474.0
2016-11-09,428.1,455.1,428.05,452.85,131.0,1507.0
2016-11-10,457.0,458.3,449.35,449.9,820.0,1518.0
2016-11-11,452.65,452.65,444.15,445.25,298.0,2137.0
2016-11-14,448.7,451.2,445.65,446.58,10243.0,2242.0
2016-11-15,449.25,452.5,447.75,450.4,24374.0,9152.0
2016-11-16,453.0,453.0,447.05,449.5,31112.0,26668.0
2016-11-17,449.7,453.25,447.05,451.7,16485.0,48453.0
2016-11-18,452.7,453.8,448.75,450.55,34892.0,52279.0
2016-11-21,451.5,455.0,448.15,452.9,32813.0,56976.0
2016-11-22,456.7,458.5,455.75,456.2,27868.0,58643.0
2016-11-23,458.15,459.0,454.5,456.25,30766.0,59344.0
2016-11-24,457.2,458.5,455.35,457.3,15845.0,60654.0
2016-11-25,457.5,458.8,455.6,457.85,17577.0,58160.0
2016-11-28,457.55,458.0,451.25,452.55,34468.0,58825.0
2016-11-29,452.65,453.3,449.3,452.4,27296.0,61459.0
2016-11-30,452.65,458.8,451.15,457.05,42159.0,60037.0
2016-12-01,455.6,457.4,450.8,453.5,41390.0,64276.0
2016-12-02,450.2,450.8,445.45,449.5,42296.0,64195.0
2016-12-05,445.1,457.9,444.8,454.4,56610.0,62993.0
2016-12-06,455.25,461.65,453.45,459.2,34147.0,64210.0
2016-12-07,461.45,465.5,460.6,462.1,29976.0,56653.0
2016-12-08,464.05,468.15,461.6,466.6,44712.0,59059.0
2016-12-09,466.6,471.35,466.35,469.65,29342.0,60412.0
2016-12-12,471.5,472.1,468.6,470.35,36657.0,60103.0
2016-12-13,469.7,474.8,469.65,473.6,53049.0,65641.0
2016-12-14,473.75,475.65,471.9,472.15,46931.0,69692.0
2016-12-15,473.75,477.45,473.1,476.5,46951.0,46036.0
2016-12-16,476.05,479.5,475.55,479.13,6513.0,24588.0
